#{"t_start": 1779728697.0647695, "env_id": "Blackjack4game-v1"}
r,l,t
1.0,4,1.469124
0.0,3,1.471748
-1.0,2,1.473465
-0.950639,2,1.475178
0.0,3,1.477793
-0.682499,4,1.481109
-0.825216,6,1.486176
-0.277786,4,1.489504
0.0,4,1.493121
-1.304706,2,1.495015
-1.0,3,1.49789
0.159394,3,1.500803
-0.877277,4,1.504538
-0.337458,3,1.507243
-0.815063,4,1.510676
-0.321576,3,1.513431
0.0,2,1.515143
0.0,3,1.517706
0.0,3,1.520353
0.0,6,1.525535
-0.67713,2,1.527299
-1.0,3,1.529949
0.08511,3,1.532575
-0.780737,5,1.537264
0.0,5,1.541776
0.0,2,1.543563
-0.638373,4,1.54708
1.5,2,1.549118
0.0,5,1.553528
0.0,2,1.555389
0.0,4,1.559043
-1.0,4,1.562503
0.0,4,1.566033
0.0,4,1.569573
0.0,4,1.573086
0.0,4,1.576521
0.0,4,1.580039
-1.0,6,1.585268
0.0,2,1.587335
-0.599458,4,1.591132
0.412489,3,1.59391
0.0,3,1.596531
-0.815485,2,1.598563
-0.700638,3,1.601423
0.0,3,1.604032
0.0,4,1.607587
0.0,4,1.611116
-0.01389,3,1.613941
0.0,3,1.616533
0.0,3,1.619268
0.0,3,1.622227
-0.001895,6,1.62748
0.0,5,1.632391
0.0,6,1.638132
0.0,5,1.642903
-1.0,5,1.647155
0.0,2,1.648947
0.0,4,1.652476
1.0,2,1.6543
0.0,3,1.656902
1.0,3,1.659447
-1.0,3,1.662109
-1.0,4,1.665926
1.0,4,1.669539
0.0,4,1.672974
-0.240238,3,1.675669
-0.843537,4,1.67912
0.0,2,1.681001
-0.318862,4,1.684628
-0.280249,4,1.688437
0.0,3,1.69134
-0.046749,5,1.695882
-0.431043,4,1.69941
1.5,2,1.701384
-1.0,5,1.706034
0.0,2,1.708044
-0.265796,3,1.710861
0.0,2,1.712816
0.0,4,1.716933
0.0,3,1.720088
0.200348,3,1.723257
0.0,3,1.726167
-0.377024,2,1.728315
0.0,3,1.731293
0.0,4,1.734821
0.0,4,1.738171
-0.541254,3,1.740775
0.0,3,1.743156
0.005323,2,1.744794
0.0,5,1.749095
-0.30625,3,1.751822
0.0,2,1.753712
0.846416,2,1.756037
-0.632556,4,1.760393
0.0,3,1.763367
0.0,3,1.765993
-1.0,3,1.76875
0.0,4,1.772263
0.0,2,1.773944
0.0,3,1.776942
0.0,2,1.778743
1.0,3,1.781347
0.0,4,1.785317
-1.0,4,1.78922
-1.0,5,1.793849
0.0,3,1.796558
0.0,5,1.800872
0.0,5,1.80546
-0.063589,2,1.807365
-1.0,3,1.810044
-1.0,4,1.813697
0.0,3,1.816437
-0.109559,4,1.820286
0.0,3,1.823046
0.0,2,1.825245
-0.258561,3,1.828475
0.0,3,1.831611
-0.841989,4,1.835662
0.0,2,1.837731
0.0,2,1.839918
0.0,2,1.842246
-1.0,4,1.846671
0.0,2,1.848581
-1.0,3,1.851638
-0.977712,6,1.85759
-0.73236,4,1.861609
-0.346718,2,1.863851
0.0,2,1.866004
1.5,2,1.868034
-0.367394,3,1.871377
0.0,3,1.874685
-0.285045,3,1.877702
-0.921321,3,1.880712
0.0,3,1.883518
0.0,4,1.887433
0.0,2,1.88945
0.0,3,1.892345
0.0,4,1.896448
-0.467923,4,1.900164
-0.463643,3,1.903125
-0.783419,3,1.905849
-0.984392,2,1.907867
0.0,3,1.911011
0.0,2,1.913425
-0.339027,5,1.919343
-1.0,3,1.922421
0.0,4,1.926417
-0.703797,2,1.928942
0.0,3,1.93278
-0.451511,3,1.936757
-1.0,4,1.942806
0.0,3,1.947143
0.0,4,1.953698
-1.0,3,1.958431
0.419182,4,1.963358
-0.199729,3,1.966429
0.0,4,1.97025
-2.0,2,1.972495
1.5,2,1.974366
0.0,3,1.977129
-0.032261,2,1.979573
-0.084165,4,1.983315
1.5,2,1.98546
1.0,4,1.989122
-1.0,4,1.992986
0.0,3,1.995733
0.0,3,1.998555
-0.09649,5,2.003037
-1.0,2,2.294674
-0.110529,3,2.29795
0.0,3,2.300667
0.0,3,2.303232
0.0,4,2.306944
0.0,3,2.309524
0.0,5,2.313996
-0.12396,4,2.31743
0.042517,2,2.319489
-1.0,3,2.322242
0.0,2,2.323952
0.0,4,2.327675
0.0,3,2.330384
-0.172531,5,2.33466
0.120714,3,2.337176
-0.083455,3,2.339693
-0.406725,3,2.342126
-0.435733,5,2.346182
0.0,2,2.34789
0.0,3,2.350276
0.0,4,2.353615
-0.287914,4,2.356985
-0.653439,4,2.360373
0.0,2,2.362257
0.0,4,2.365923
0.0,3,2.368667
0.380611,3,2.371266
0.0,3,2.373914
-0.017214,3,2.376804
-0.936476,3,2.379387
0.605178,5,2.384198
0.0,3,2.386812
-0.547459,2,2.388733
-0.713665,2,2.390587
0.51592,3,2.393154
0.0,4,2.396927
-1.0,2,2.398679
-1.0,3,2.401332
-0.600612,3,2.404284
0.0,3,2.406934
0.0,3,2.409888
-0.386579,3,2.412953
0.0,3,2.416129
0.0,2,2.418213
0.0,4,2.421714
-0.670187,3,2.424692
0.0,5,2.428976
0.0,4,2.432763
-0.47387,4,2.436227
0.0,3,2.439142
-0.418273,4,2.442534
0.016233,2,2.444375
0.0,2,2.446061
0.0,4,2.449502
0.0,3,2.452271
0.0,2,2.453949
0.0,3,2.456577
0.0,4,2.460254
-0.110383,2,2.462201
0.0,2,2.463964
0.0,2,2.466103
-0.178758,4,2.469535
0.0,2,2.471377
0.0,4,2.474876
-0.528486,2,2.476498
0.811245,3,2.479247
1.5,2,2.48106
0.0,2,2.482818
0.0,4,2.486401
0.0,3,2.488936
-1.0,3,2.491509
0.0,4,2.495285
-0.501685,3,2.497735
-1.0,3,2.500533
0.0,4,2.503854
-1.0,4,2.507505
0.0,2,2.509516
0.0,3,2.512038
-0.595458,4,2.515806
0.0,2,2.517522
0.0,3,2.520092
-0.138686,3,2.522717
0.0,4,2.526135
0.08754,3,2.529443
-1.0,3,2.532106
-1.0,3,2.534905
0.0,4,2.538294
-1.0,3,2.541033
-0.110996,2,2.542943
1.0,3,2.545419
0.0,4,2.549082
0.0,4,2.552665
-0.013362,2,2.554582
-0.257793,4,2.558666
0.0,4,2.562186
-0.447405,3,2.564745
0.0,4,2.568
-1.0,3,2.570976
0.0,3,2.57357
0.0,3,2.576542
0.0,4,2.579914
0.0,6,2.585071
0.0,2,2.586761
0.0,3,2.58949
1.5,2,2.591382
0.0,4,2.594577
0.82672,2,2.596344
0.0,3,2.599063
1.0,3,2.60163
-0.143085,4,2.605293
0.0,4,2.608575
0.0,4,2.612245
0.226348,2,2.613946
0.558176,4,2.617402
0.0,4,2.620998
0.0,2,2.622634
0.0,2,2.624619
0.0,2,2.626475
0.0,3,2.62903
0.0,4,2.632964
0.0,2,2.634807
-1.0,5,2.639363
0.0,2,2.641204
0.127843,2,2.642983
0.0,4,2.646935
-0.273969,4,2.650403
-0.403126,4,2.654147
0.0,3,2.657061
0.162735,4,2.661622
-0.931708,3,2.664569
-0.393851,3,2.667652
0.0,5,2.672006
0.0,4,2.676066
-1.0,3,2.67867
0.0,4,2.682695
0.0,4,2.685945
0.0,3,2.688954
-0.72732,3,2.691407
0.0,5,2.6958
0.0,2,2.697398
0.0,3,2.699868
0.0,2,2.701948
0.0,5,2.70604
0.0,3,2.709079
0.0,4,2.712901
-1.0,3,2.715943
0.0,4,2.719306
0.0,4,2.723303
0.0,5,2.727817
0.0,3,2.731066
-0.147073,2,2.732702
0.621583,2,2.734416
-0.074001,5,2.738986
0.0,5,2.74363
0.0,3,2.746043
0.0,3,2.748789
0.571623,2,2.7508
-0.484167,2,2.75257
0.0,2,2.754252
0.33619,3,2.757293
0.0,4,2.761212
0.0,4,2.765686
0.0,4,2.770331
0.0,3,2.77363
0.0,2,2.775393
0.319245,3,2.77863
-0.800077,3,2.781621
-0.213821,6,2.787772
0.855557,3,2.790777
0.0,4,2.794876
-0.934417,4,2.798939
0.0,2,2.8008
0.0,2,2.80255
-0.053649,4,2.806272
1.5,2,2.808063
0.0,3,2.810594
-0.218417,3,2.813588
0.0,3,2.816033
0.0,4,2.819683
0.0,3,2.822467
0.0,2,2.824286
0.364215,4,2.828184
0.0,3,2.830878
-0.623377,3,2.833712
0.0,2,2.835758
0.730536,5,2.840955
0.0,3,2.845231
-0.154191,5,2.850278
0.0,5,2.854985
0.0,2,2.857835
0.0,5,2.86304
0.0,4,2.867123
0.0,2,2.86898
-0.466518,4,2.872401
0.0,2,2.874332
0.0,5,2.878627
0.0,3,2.881283
-0.387226,4,2.884825
-0.783227,5,2.889133
0.0,2,2.890874
0.0,3,2.893337
0.0,3,2.896002
-0.902973,3,2.898531
0.0,4,2.901936
0.0,3,2.904536
0.0,3,2.907149
0.21921,3,2.90982
0.0,3,2.912513
0.0,6,2.917581
0.0,2,2.919279
-1.0,3,2.921866
0.0,4,2.925287
0.0,3,2.927746
-1.0,3,2.930354
0.262714,2,2.932188
0.0,3,2.934707
0.0,3,2.937457
0.0,3,2.94009
0.163395,2,2.941759
0.0,3,2.944457
-0.84882,5,2.948625
0.0,3,2.951329
0.0,4,2.954771
-0.585637,2,2.956562
0.0,3,2.959199
0.0,5,2.963525
0.0,3,2.965967
0.532192,3,2.968796
0.0,2,2.970622
0.941547,2,2.972435
1.0,2,2.974264
0.0,3,2.976836
0.710236,3,2.979386
0.0,3,2.981985
0.0,3,2.984555
0.0,3,2.987606
0.642393,3,2.990179
0.0,4,2.993761
0.109863,3,2.996526
0.0,3,2.999459
0.0,3,3.002227
0.0,2,3.003874
0.0,6,3.009111
0.0,4,3.012434
-0.047964,4,3.015838
0.0,4,3.019297
1.5,2,3.020959
-0.120032,5,3.025919
0.0,4,3.029462
-0.173123,2,3.031167
0.0,3,3.033806
-0.180595,2,3.035482
0.0,2,3.037234
0.0,4,3.040548
-0.030398,5,3.044669
0.0,3,3.0472
-1.0,3,3.049692
0.649316,2,3.051351
1.0,3,3.053872
0.0,4,3.057069
0.0,2,3.058775
0.0,3,3.061348
0.0,3,3.063776
0.0,3,3.066708
0.0,2,3.068421
0.0,3,3.070925
0.0,3,3.073677
-1.0,4,3.076914
0.076706,4,3.080567
0.0,2,3.082263
0.0,2,3.083985
-1.0,4,3.087701
0.0,4,3.09093
0.0,4,3.094718
-0.151629,4,3.098149
-0.439091,2,3.100037
0.0,3,3.102652
-0.065202,3,3.105137
-0.573064,4,3.108646
-0.248294,4,3.111933
-0.192031,2,3.113811
0.0,2,3.115604
0.0,2,3.117156
0.0,5,3.121159
0.0,3,3.123717
0.0,2,3.12535
0.0,2,3.127076
0.554886,2,3.128783
0.0,4,3.132058
-0.79254,5,3.136742
-0.290249,3,3.139457
-1.0,3,3.142069
1.0,3,3.144619
0.0,4,3.147942
0.0,4,3.151295
0.0,4,3.154617
0.0,4,3.157951
0.0,2,3.159531
-0.344878,3,3.162192
0.0,3,3.164918
-0.525751,3,3.167402
-1.0,4,3.1708
-0.983272,4,3.173954
0.0,4,3.177352
0.0,2,3.178965
0.0,2,3.18056
0.0,4,3.184157
0.0,3,3.186582
-0.378056,5,3.19066
0.0,3,3.193231
0.0,2,3.194894
0.0,4,3.199357
0.674253,3,3.201875
0.696384,4,3.205413
0.0,3,3.207859
0.0,4,3.211174
0.0,3,3.213949
0.0,4,3.29111
-0.689542,4,3.295222
0.0,3,3.297844
0.0,3,3.300535
0.0,3,3.302937
0.550269,3,3.305581
0.0,2,3.307363
0.11192,4,3.310709
0.0,5,3.315145
-1.0,2,3.316718
-1.0,4,3.320169
0.0,4,3.323448
-0.742842,3,3.326023
-0.742962,4,3.329414
0.0,3,3.331983
-0.079827,2,3.333668
0.0,3,3.336254
0.0,4,3.33963
-1.0,4,3.34345
0.0,2,3.34513
1.0,4,3.34858
0.0,4,3.352016
0.0,3,3.354662
0.0,3,3.357325
0.0,2,3.358923
-0.276058,3,3.361557
-1.0,3,3.364269
0.0,4,3.367873
-0.375196,5,3.37232
-1.243373,2,3.374135
0.0,4,3.37754
-0.229456,5,3.381801
0.0,4,3.385191
0.0,3,3.387853
0.0,2,3.389525
0.0,3,3.39217
0.0,3,3.394788
0.0,3,3.397378
0.0,3,3.399931
0.0,6,3.405115
-0.384215,2,3.406831
-0.778717,3,3.409236
-1.0,2,3.410974
0.0,4,3.414446
0.0,3,3.416947
0.0,3,3.419689
-0.542018,4,3.422985
0.0,3,3.425741
0.0,2,3.427484
0.0,3,3.429925
0.0,2,3.431891
-1.0,3,3.435025
0.0,3,3.437597
0.865485,2,3.439441
0.0,3,3.442036
0.379934,4,3.445513
0.0,4,3.449153
0.406514,4,3.45256
-0.061286,3,3.455727
0.0,3,3.458503
0.0,2,3.460427
0.0,5,3.464961
0.0,4,3.468722
-0.129214,2,3.470613
0.0,3,3.473406
-0.654665,4,3.477063
1.0,2,3.478763
-1.560822,2,3.480681
0.0,3,3.48383
-0.602371,3,3.486508
0.0,3,3.489696
-0.519984,2,3.491508
0.0,2,3.49321
-0.566842,3,3.496054
0.0,2,3.498323
0.0,3,3.501192
-0.663777,5,3.506054
0.0,3,3.509291
-0.034026,5,3.514432
0.0,3,3.517888
0.0,3,3.520965
-0.745533,3,3.52428
-0.368618,4,3.527832
-0.42815,6,3.533505
0.94287,5,3.538361
-0.119616,3,3.541043
0.0,2,3.542883
-0.782073,3,3.545939
0.0,4,3.549661
0.0,4,3.553676
-1.0,4,3.557284
0.0,4,3.561203
-0.308506,4,3.564869
1.5,2,3.566848
0.0,4,3.570749
-1.0,3,3.57381
-0.928474,3,3.576547
0.0,3,3.579489
0.0,4,3.583001
-1.0,4,3.586679
-0.101628,3,3.589429
0.0,3,3.592771
-0.864681,2,3.594745
-0.051503,4,3.598328
0.0,3,3.601302
-0.635921,3,3.603997
0.0,5,3.608728
0.0,4,3.612343
1.5,2,3.614364
0.0,3,3.617303
0.0,3,3.62013
0.0,4,3.623883
1.080181,2,3.625633
0.0,2,3.627699
-0.653812,2,3.629493
0.0,4,3.632835
-0.807821,3,3.635278
-0.006481,5,3.639941
-0.017111,2,3.642154
-0.469932,3,3.644952
-1.0,3,3.648092
0.0,3,3.651193
0.0,5,3.656849
0.0,3,3.659806
0.0,4,3.664212
1.5,2,3.666388
0.0,3,3.669442
0.0,2,3.671419
0.0,2,3.673447
0.0,3,3.676514
-0.880955,3,3.679288
0.0,2,3.681239
-0.844702,4,3.685147
0.0,4,3.688771
0.0,2,3.690729
-0.644492,2,3.692764
0.0,4,3.696382
0.0,3,3.699334
-1.0,3,3.702075
0.093019,3,3.705024
-1.0,2,3.707
0.0,4,3.710968
-1.0,3,3.714711
0.012189,2,3.717373
0.0,3,3.721622
0.0,3,3.725952
0.0,4,3.731591
0.712766,4,3.737083
-1.0,4,3.742728
-1.0,3,3.747017
0.0,2,3.749326
-1.0,5,3.754259
0.0,3,3.757106
0.0,2,3.759077
0.0,2,3.761349
0.0,4,3.765016
0.0,4,3.768951
0.0,3,3.772042
-0.286765,4,3.776128
-1.0,4,3.780018
0.0,3,3.782977
-0.675749,4,3.786773
-0.632434,4,3.790662
0.166758,5,3.795369
0.0,3,3.798826
0.61492,2,3.80133
0.552813,2,3.804362
0.436118,4,3.809293
0.0,4,3.814857
0.0,3,3.81895
0.0,3,3.822872
0.0,4,3.827704
0.0,2,3.830196
0.0,4,3.835389
0.0,4,3.840056
-0.167354,5,3.849066
0.0,2,3.851541
0.0,3,3.85493
0.0,3,3.858256
0.04107,2,3.860471
-0.280661,4,3.864786
0.0,3,3.868242
0.0,3,3.871224
-0.721212,2,3.873358
-0.546377,4,3.877626
0.0,3,3.880785
0.0,3,3.884
-0.018575,3,3.887211
0.0,7,3.894603
0.0,3,3.897708
-0.385257,3,3.900916
0.0,3,3.904263
0.0,3,3.907598
0.0,3,3.910773
-0.931285,3,3.91488
0.0,4,3.9224
0.0,5,3.931741
-0.082504,4,3.939609
-0.166919,4,3.947602
-0.043464,3,3.951209
0.0,3,3.954598
0.0,4,3.958801
0.0,2,3.961141
0.0,2,3.963237
0.0,4,3.967511
-0.180072,3,3.970771
0.0,4,3.974973
0.0,4,3.978945
-1.0,2,3.980898
0.0,3,3.983925
-1.0,4,3.987929
-1.0,4,3.991842
-0.217076,3,3.994902
0.0,3,3.997961
-0.632083,4,4.002026
0.0,2,4.00409
0.0,3,4.007309
0.0,2,4.009426
0.0,2,4.011394
0.0,3,4.014535
-1.0,3,4.017584
-0.171957,4,4.021525
0.361133,4,4.02545
0.0,3,4.028608
0.750569,2,4.030688
0.0,3,4.033831
0.0,3,4.037045
0.0,3,4.040408
0.0,3,4.043606
0.0,4,4.047737
0.0,5,4.053054
0.0,3,4.056282
0.0,3,4.059437
-0.455671,3,4.063116
-2.0,2,4.065507
0.0,5,4.071179
0.78164,2,4.073455
-0.730985,5,4.078681
1.0,3,4.08179
-0.534938,5,4.086889
0.0,3,4.089955
0.0,5,4.094836
0.0,2,4.097122
0.0,3,4.100583
0.634366,3,4.103504
0.0,4,4.107633
0.0,3,4.110788
0.0,3,4.113968
-1.0,3,4.116999
0.0,3,4.120182
0.0,2,4.122213
0.0,3,4.125482
-1.0,2,4.127713
0.0,3,4.130872
0.0,4,4.135178
0.0,4,4.139257
0.0,3,4.142564
1.0,3,4.145703
0.0,3,4.148883
1.0,4,4.153126
0.0,5,4.15796
0.0,4,4.162543
-0.522611,7,4.170702
-0.789047,3,4.174435
0.0,3,4.177906
-0.053619,3,4.181319
0.0,2,4.183619
0.0,3,4.186688
-0.794502,3,4.190038
0.0,4,4.194177
-0.214971,3,4.197526
0.010055,5,4.203241
0.0,2,4.205392
-0.416986,4,4.209686
-0.126684,5,4.214869
-0.280018,2,4.217022
0.0,2,4.219169
0.0,3,4.222343
0.0,4,4.226555
-0.33694,2,4.228666
-0.083835,3,4.231971
0.0,3,4.235027
0.0,3,4.238744
-0.379142,2,4.2409
0.0,2,4.243126
0.730607,3,4.246423
0.0,4,4.250357
0.0,2,4.252478
0.0,5,4.257334
1.0,3,4.260591
-0.539347,3,4.263715
-0.532603,3,4.266958
-0.215699,3,4.270286
0.0,3,4.273504
-0.772279,4,4.277519
0.0,3,4.280832
0.111137,2,4.282876
0.0,5,4.288075
0.0,2,4.290048
0.0,3,4.293226
-0.520195,3,4.296818
0.0,3,4.30016
0.0,3,4.303615
1.0,3,4.307254
0.0,2,4.309702
0.0,2,4.311941
-0.694342,2,4.314395
0.726477,2,4.316715
0.344897,4,4.320962
0.0,3,4.324252
-0.695382,4,4.328521
2.0,2,4.330858
-1.0,2,4.332901
0.0,3,4.3362
0.0,3,4.339425
0.0,3,4.343175
0.30241,2,4.345691
0.0,2,4.348116
-1.0,4,4.352571
0.0,3,4.44434
-0.228322,2,4.44708
0.0,2,4.449706
0.0,3,4.453161
0.0,3,4.457163
-0.085578,4,4.461933
0.0,4,4.466305
0.0,3,4.469503
-0.091007,4,4.473627
-0.412081,2,4.476774
0.0,2,4.478878
0.0,2,4.48212
0.0,3,4.486089
1.0,3,4.489995
0.0,4,4.494626
0.0,2,4.497048
0.0,2,4.4992
-1.0,4,4.504071
0.0,2,4.506202
1.5,2,4.508768
-1.0,3,4.512234
1.0,4,4.517078
0.0,3,4.520088
-0.812068,4,4.524809
0.0,3,4.527796
-0.664049,2,4.530568
1.0,3,4.533704
0.0,5,4.539345
0.0,6,4.545859
0.0,3,4.548702
0.0,4,4.553434
0.0,2,4.555442
0.0,3,4.559817
-1.0,2,4.562147
0.0,2,4.564973
0.921502,2,4.567673
0.0,3,4.571769
0.0,2,4.574545
-0.797482,3,4.578314
0.0,3,4.581677
0.0,3,4.58507
0.0,4,4.589501
0.0,4,4.594336
-0.122393,5,4.599879
-2.0,2,4.602268
0.0,3,4.605452
0.0,3,4.609346
0.0,3,4.612533
0.0,2,4.615183
0.0,2,4.617325
-1.0,4,4.622063
0.0,3,4.625045
-0.269617,3,4.629004
0.0,3,4.632015
0.230597,4,4.637006
0.0,4,4.641705
-0.255264,5,4.646733
0.0,3,4.650529
0.0,5,4.656116
0.0,3,4.659206
0.0,4,4.664021
0.0,2,4.666147
0.0,2,4.668381
-0.947404,5,4.674545
0.0,2,4.677504
-0.536633,6,4.684323
0.0,5,4.68953
-0.314613,2,4.691956
0.0,3,4.694885
0.0,3,4.69872
0.0,3,4.701638
-1.0,3,4.705535
0.0,4,4.709602
0.380754,2,4.712173
0.806491,2,4.714564
-0.380656,4,4.718951
0.0,3,4.7222
0.0,3,4.725466
0.021526,2,4.727984
0.0,3,4.731077
0.0,4,4.735998
0.0,3,4.739434
-0.937227,2,4.741767
-0.203962,4,4.745883
-0.186589,2,4.748484
-1.0,5,4.753849
0.0,2,4.756069
0.0,4,4.760351
0.0,5,4.765962
0.0,4,4.770814
-1.0,4,4.778349
-0.617849,3,4.783743
0.0,3,4.788863
0.0,4,4.79491
-0.22755,3,4.79961
0.0,3,4.803095
-0.900125,4,4.806952
0.0,5,4.812111
0.0,3,4.815402
-0.871732,4,4.819958
0.0,4,4.824547
-0.944671,3,4.827586
0.0,4,4.831958
0.0,2,4.833818
0.0,3,4.837366
0.0,5,4.842306
-0.416843,2,4.844606
-0.120453,5,4.849442
0.0,4,4.853443
0.0,4,4.857482
0.0,6,4.863489
0.0,4,4.868053
0.0,3,4.871715
0.0,3,4.874815
0.0,5,4.880192
0.0,3,4.883129
0.0,2,4.885383
0.0,3,4.888575
0.0,2,4.890767
0.0,3,4.894301
0.0,2,4.896227
0.0,2,4.898949
0.0,2,4.901413
0.0,3,4.904626
0.0,4,4.909476
-0.979811,3,4.913106
0.0,3,4.916572
0.0,4,4.92116
0.0,3,4.924221
-1.0,3,4.92748
-1.0,5,4.932329
-0.379571,3,4.93556
0.0,3,4.938359
-0.677516,3,4.941625
-0.487717,3,4.944605
0.0,3,4.947734
0.0,2,4.949876
0.0,4,4.953781
0.0,3,4.957444
0.0,3,4.960835
0.0,4,4.965577
0.0,4,4.970183
0.0,2,4.972654
0.0,3,4.976489
0.0,2,4.978729
-1.0,3,4.982383
0.0,4,4.986887
0.0,3,4.990427
-0.541896,3,4.993457
-0.705857,4,4.997787
0.0,3,5.000675
0.0,4,5.005104
-0.286331,5,5.01008
-1.0,3,5.013333
-1.0,3,5.016415
-1.0,3,5.019703
0.0,2,5.021738
0.0,4,5.026436
-0.988066,3,5.029707
0.20396,3,5.033142
0.0,5,5.038903
-0.064793,4,5.042918
0.0,3,5.046451
0.0,3,5.049326
0.0,4,5.053854
1.0,2,5.055926
0.0,2,5.058145
0.755318,2,5.060803
1.0,5,5.067523
0.0,3,5.070928
0.0,4,5.075979
-1.0,4,5.080537
-0.621542,5,5.08634
0.0,4,5.090971
0.0,3,5.095309
0.0,3,5.098895
1.483211,2,5.101506
0.0,4,5.105744
0.0,3,5.109494
0.0,2,5.111675
-1.729558,2,5.114134
-1.0,3,5.117408
-1.0,2,5.119458
0.0,3,5.123212
0.0,2,5.125472
0.0,3,5.129203
0.0,4,5.133544
0.0,3,5.137316
-0.821703,3,5.140822
0.0,3,5.144917
1.051773,2,5.146928
0.0,3,5.150585
0.162817,3,5.153587
-0.153702,4,5.158257
0.0,3,5.161278
-1.0,2,5.163767
0.0,3,5.166721
0.56928,3,5.170117
-0.245249,4,5.174114
0.0,5,5.179307
1.5,2,5.181223
0.0,3,5.18529
-1.0,4,5.189244
-0.544218,3,5.192742
0.0,2,5.194803
0.0,3,5.198178
0.0,4,5.202157
0.0,4,5.206622
0.0,3,5.209575
0.0,3,5.21309
0.0,3,5.216122
0.0,2,5.218993
-1.0,4,5.223457
0.0,3,5.227441
-0.041061,2,5.229864
0.0,2,5.232614
0.0,3,5.236799
0.0,2,5.239291
-1.0,4,5.243615
0.0,4,5.247987
-0.366659,2,5.250062
-0.656689,2,5.251977
-0.144437,4,5.256668
0.0,3,5.260008
0.0,5,5.265708
0.0,4,5.270358
1.5,2,5.272425
0.0,3,5.275962
0.0,2,5.278352
0.0,4,5.28339
0.0,2,5.285409
-0.993956,4,5.289918
-0.14222,5,5.295339
0.0,3,5.298733
0.0,3,5.302287
0.0,3,5.305723
0.0,6,5.31207
0.0,3,5.315086
-1.0,3,5.318627
0.0,5,5.323781
-0.471453,3,5.327017
0.0,3,5.330248
0.0,3,5.333523
0.802895,3,5.336617
1.0,2,5.338953
-0.640922,6,5.34538
1.5,2,5.347324
0.753872,3,5.350367
0.0,2,5.352832
